model,attack,base_class,target_class,epochs,lr,poison_num,epsilon,poison_num.1,watermark_opacity,step_size,iterations,n_runs,n_success,asr,clean_acc_mean,poisoned_acc_mean
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.05,60,0.2,0.01,4000,5,0,0.0,0.7641,0.68794
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.01,30,0.0,0.01,2000,5,0,0.0,0.7641,0.6873799999999999
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.01,30,0.0,0.01,4000,5,0,0.0,0.7641,0.67234
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.03,30,0.0,0.01,2000,5,0,0.0,0.7641,0.6800200000000001
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.03,30,0.0,0.01,4000,5,0,0.0,0.7641,0.69298
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.03,30,0.2,0.01,4000,5,0,0.0,0.7641,0.6832
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.05,30,0.0,0.01,2000,5,0,0.0,0.7641,0.67886
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.05,30,0.0,0.01,4000,5,0,0.0,0.7641,0.68828
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.05,30,0.2,0.01,4000,5,0,0.0,0.7641,0.67996
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.01,60,0.0,0.01,4000,5,0,0.0,0.7641,0.6791
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.01,60,0.2,0.01,2000,5,0,0.0,0.7641,0.6648
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.03,60,0.0,0.01,2000,5,0,0.0,0.7641,0.6891200000000001
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.03,60,0.2,0.01,2000,5,0,0.0,0.7641,0.6716399999999999
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.03,60,0.2,0.01,4000,5,0,0.0,0.7641,0.68136
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.05,60,0.2,0.01,2000,5,0,0.0,0.7641,0.6843199999999999
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,30,0.01,30,0.0,0.01,2000,5,0,0.0,0.7641,0.6919000000000001
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,30,0.01,30,0.0,0.01,4000,5,0,0.0,0.7641,0.66012
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,30,0.01,30,0.2,0.01,2000,5,0,0.0,0.7641,0.68606
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,30,0.01,30,0.2,0.01,4000,5,0,0.0,0.7641,0.6716
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,30,0.03,30,0.0,0.01,2000,5,0,0.0,0.7641,0.69368
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,30,0.03,30,0.0,0.01,4000,5,0,0.0,0.7641,0.69438
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,30,0.03,30,0.2,0.01,2000,5,0,0.0,0.7641,0.6832400000000001
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,30,0.03,30,0.2,0.01,4000,5,0,0.0,0.7641,0.68532
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,30,0.05,30,0.0,0.01,2000,5,0,0.0,0.7641,0.6813
